language,languageLabel,pop
http://www.wikidata.org/entity/Q727694,Standard Chinese,897071810
http://www.wikidata.org/entity/Q1860,English,753359540
http://www.wikidata.org/entity/Q1321,Spanish,437000000
http://www.wikidata.org/entity/Q1860,English,379007140
http://www.wikidata.org/entity/Q1568,Hindi,322230097
http://www.wikidata.org/entity/Q13955,Arabic,315421300
http://www.wikidata.org/entity/Q1568,Hindi,274266900
http://www.wikidata.org/entity/Q1568,Hindi,260123420
http://www.wikidata.org/entity/Q9610,Bengali,242659750
http://www.wikidata.org/entity/Q9237,Malay,225000000
http://www.wikidata.org/entity/Q150,French,208157220
http://www.wikidata.org/entity/Q5146,Portuguese,202225450
http://www.wikidata.org/entity/Q727694,Standard Chinese,193880000
http://www.wikidata.org/entity/Q9610,Bengali,189261200
http://www.wikidata.org/entity/Q7737,Russian,171428900
http://www.wikidata.org/entity/Q7737,Russian,153919510
http://www.wikidata.org/entity/Q1568,Hindi,120490000
http://www.wikidata.org/entity/Q58635,Punjabi,120000000
http://www.wikidata.org/entity/Q7737,Russian,110440620
http://www.wikidata.org/entity/Q7737,Russian,110000000
http://www.wikidata.org/entity/Q9610,Bengali,106000000
http://www.wikidata.org/entity/Q188,German,105000000
http://www.wikidata.org/entity/Q1617,Urdu,94022900
http://www.wikidata.org/entity/Q33549,Javanese,84308740
http://www.wikidata.org/entity/Q188,German,80000000
http://www.wikidata.org/entity/Q256,Turkish,78527240
http://www.wikidata.org/entity/Q1571,Marathi,77000000
http://www.wikidata.org/entity/Q9237,Malay,77000000
http://www.wikidata.org/entity/Q150,French,76795640
http://www.wikidata.org/entity/Q9176,Korean,73233270
http://www.wikidata.org/entity/Q1571,Marathi,72900000
http://www.wikidata.org/entity/Q9186,Cantonese,72893210
http://www.wikidata.org/entity/Q1571,Marathi,71775760
http://www.wikidata.org/entity/Q256,Turkish,71435850
http://www.wikidata.org/entity/Q1617,Urdu,68619830
http://www.wikidata.org/entity/Q9199,Vietnamese,68058620
