language,count
en,65986
fr,37053
de,22432
es,21507
ar,18582
it,18074
ja,17992
nl,17985
zh,17462
ru,17166
pl,16860
pt,15875
fa,12871
ca,12621
sr,12579
uk,12557
vi,11759
sv,10902
nn,10420
cs,10388
sh,10277
fi,9849
ro,9414
he,8985
eo,8688
zh-hant,8614
ko,8543
bg,8339
zh-hans,8197
id,7603
tr,7375
nb,7242
eu,7046
hu,6857
da,6680
ga,6636
la,6568
gl,6305
zh-cn,5978
ast,5940
el,5897
hy,5819
et,5629
hr,5590
zh-hk,5444
th,5303
sq,5002
sl,5001
lt,4885
sk,4806
mk,4631
hi,4535
cy,4467
zh-tw,4367
kk,4337
be,4281
ta,4239
az,4233
ms,4091
bs,3849
azb,3813
lv,3745
sr-ec,3696
zh-sg,3612
sr-el,3609
en-gb,3493
ceb,3487
yue,3377
be-tarask,3352
bn,3336
ml,3316
ka,3275
pt-br,3197
en-ca,3071
war,3066
is,2928
sco,2912
af,2882
uz,2798
ur,2708
oc,2682
tl,2679
ky,2678
wuu,2638
te,2397
io,2294
tt,2155
kn,2131
ia,2126
or,2037
nan,2003
pa,1921
jv,1870
br,1855
ckb,1841
sw,1828
de-ch,1772
lb,1772
ku,1756
mr,1616
tg,1532
scn,1525
ne,1522
an,1475
qu,1466
pnb,1447
si,1438
my,1415
fy,1401
yi,1390
nds,1359
ba,1331
li,1312
ht,1308
su,1297
kk-cyrl,1276
gsw,1273
mn,1257
gd,1221
kk-arab,1198
kk-latn,1197
frr,1177
lfn,1150
wa,1100
hsb,1095
lmo,1027
cv,1014
gu,1012
new,996
ps,986
am,941
vec,931
bar,926
sah,908
diq,908
sgs,906
cdo,904
arz,900
pms,894
sc,890
fo,888
kk-kz,884
kk-cn,880
kk-tr,879
sd,873
hak,867
so,865
yo,860
xmf,852
lij,833
lzh,812
dv,812
se,805
sa,804
os,801
kab,787
gv,760
gn,756
ilo,756
bho,753
mg,726
rue,707
nds-nl,697
ug,693
bo,685
co,682
vo,667
hif,656
as,643
vls,639
mt,636
ang,634
vep,632
ln,624
nah,616
bxr,614
vro,613
stq,612
ce,612
gcr,599
ie,598
jam,594
kbp,590
sn,581
pam,581
rup,569
mrj,564
tt-cyrl,564
zh-mo,556
mzn,552
wo,547
frp,544
fur,541
ext,537
nv,535
zh-my,534
no,529
min,521
rm,521
mhr,520
simple,516
myv,515
nrm,510
nap,507
za,507
tk,504
zh-yue,497
sat,492
pcd,492
ha,488
zh-classical,482
olo,480
szl,475
hyw,471
kw,464
zu,463
zh-min-nan,463
jbo,458
dsb,457
arc,456
bcl,456
be-x-old,453
eml,450
lad,450
xal,448
smn,436
nov,434
kv,434
sms,428
mi,425
kg,421
gan,419
udm,415
ay,415
csb,415
pap,411
lo,410
km,397
de-at,396
zea,392
mai,386
kaa,382
chr,380
mwl,369
ku-latn,368
pi,368
lez,359
ak,349
rw,347
dty,342
bpy,325
om,323
bjn,322
aeb-arab,321
bh,321
ig,319
gag,319
pih,310
als,310
ace,309
inh,303
haw,299
ku-arab,298
cbk-zam,296
bat-smg,294
szy,293
koi,283
crh,283
sm,283
crh-latn,280
xh,278
na,271
ban,270
kl,267
lrc,253
ts,251
ary,250
av,246
gom,240
shn,235
krc,234
fj,233
ee,233
map-bms,230
iu,229
pdc,228
ss,227
tyv,226
lbe,224
tpi,219
got,218
ki,217
bi,216
fiu-vro,215
mdf,204
srn,203
nso,203
ltg,201
kbd,200
ksh,199
tet,199
roa-rup,198
chy,189
lg,188
ik,188
bm,187
nqo,178
roa-tara,177
ady,176
tcy,170
st,169
pag,166
awa,156
cu,156
ab,150
gom-latn,148
gom-deva,146
avk,145
ti,141
rmy,141
atj,137
tum,129
to,127
ff,116
sma,115
pfl,114
sg,114
pnt,113
bgn,111
tg-cyrl,110
ny,109
din,102
tw,101
tt-latn,100
ch,96
glk,92
dz,92
mo,91
brh,91
ty,88
nys,87
ks,84
rn,83
bug,79
mnw,77
gor,73
tg-latn,69
rmf,62
smj,60
cr,56
tn,55
liv,52
gan-hans,47
aeb-latn,44
ve,43
gan-hant,37
kea,35
sje,25
frc,24
grc,22
fit,22
arn,16
hil,14
vmf,13
es-419,13
ug-latn,13
ike-cans,12
ike-latn,12
arq,12
ug-arab,12
ng,10
aa,9
sju,9
aln,8
tzm,8
lzz,8
ko-kp,8
cho,8
ota,7
pdt,7
vot,7
ii,7
prg,6
kj,6
qug,6
tay,5
rgn,5
dtp,5
kjp,5
tly,5
aeb,5
sjd,4
egl,4
mh,4
rif,3
hz,3
niu,3
shi,3
bqi,3
ho,3
ruq,3
khw,2
mni,2
loz,2
sdc,2
sei,2
lus,2
krj,2
bbc-latn,2
mus,2
ruq-latn,2
shi-latn,2
hif-latn,2
hrx,2
kr,2
nod,2
anp,2
de-formal,1
hu-formal,1
nl-informal,1
shy-latn,1
es-formal,1
abs,1
ami,1
ady-cyrl,1
bbc,1
bcc,1
bto,1
cps,1
crh-cyrl,1
jut,1
kbd-cyrl,1
kiu,1
kri,1
krl,1
ks-arab,1
ks-deva,1
lki,1
luz,1
ruq-cyrl,1
rwr,1
sdh,1
ses,1
shi-tfng,1
sli,1
srq,1
tru,1
