language,count
en,16670
de,8911
ar,8597
fr,7258
es,6979
it,6498
pl,6071
pt,5653
ru,5564
ja,4651
nl,4476
fa,4426
sr,4255
zh,3732
vi,3491
uk,3433
sh,3396
sv,3390
fi,3199
ca,3066
he,2632
cs,2536
ko,2451
tr,2258
id,2168
ro,1895
nb,1820
hu,1730
hy,1710
th,1635
da,1371
en-simple,1328
hr,1324
cy,1313
sl,1311
eu,1295
bg,1189
or,1171
et,1126
azb,1125
gl,1122
el,1059
hi,1041
eo,1019
sk,968
ta,937
kk,929
lt,927
ms,897
mk,828
ga,782
az,733
ml,670
be,659
lv,642
bs,622
bn,621
yue,617
uz,610
ky,609
la,543
nn,516
ka,494
is,468
af,462
ur,425
ast,409
tl,401
wuu,390
te,374
sco,343
sq,338
kn,337
pa,333
be-tarask,303
io,295
ckb,272
dv,267
sw,248
jv,234
nan,226
oc,225
mr,224
si,220
tg,207
ia,191
tt,184
my,182
ps,178
ne,177
wa,174
ku,173
su,157
new,151
war,150
lb,141
yi,137
br,128
fy,125
arz,122
qu,118
scn,116
mn,115
as,105
gu,100
gsw,99
ht,96
hyw,93
pnb,92
ba,89
lfn,86
sah,84
nds,83
an,82
ln,78
li,78
sd,74
yo,70
so,67
lmo,64
fo,63
sa,63
sgs,59
cdo,58
egl,56
min,55
xmf,55
tk,54
hak,53
bar,53
am,52
lzh,52
diq,51
jam,50
cv,49
gn,48
gd,48
gcr,46
bo,41
ceb,41
rue,40
frr,39
kab,39
za,39
lg,37
pms,37
vec,37
mzn,36
csb,35
sc,35
mai,35
lij,35
sat,34
vro,34
pam,33
kbp,33
bxr,32
bho,31
sn,30
ilo,29
se,29
km,28
bjn,26
rw,26
nds-NL,25
ig,25
ext,24
ug,23
wo,23
om,23
ay,22
tyv,22
hif,22
din,22
vep,22
vls,21
ny,21
ss,21
xh,21
bcl,20
gan,19
dty,19
chr,18
mwl,18
pi,18
stq,18
rup,17
gv,17
ha,17
lo,17
st,17
ak,17
fr-x-nrm,17
lez,17
myv,17
tcy,16
fur,16
nv,15
rn,15
ksh,15
ang,15
mg,14
ts,14
pap,14
mt,14
szl,14
nah,14
os,14
ce,14
ti,13
nso,12
szy,11
iu,11
arc,10
ace,10
zu,10
gom,10
awa,10
jbo,10
olo,9
fj,8
bm,8
lbe,8
co,8
kaa,7
jv-x-bms,7
bpy,7
nap,7
av,7
vo,7
chy,7
xal,7
kw,6
lad,6
kv,6
tpi,5
mnw,5
nqo,5
zea,5
ee,5
pdc,5
koi,5
haw,5
ki,5
gor,5
pcd,5
mi,5
ks,5
krc,4
glk,4
kg,4
mhr,4
nov,4
atj,4
ie,4
ban,4
mrj,4
ve,3
mdf,3
pih,3
bi,3
ik,3
hsb,3
pfl,3
ary,2
ff,2
tn,2
srn,2
inh,2
to,2
tet,2
crh-Latn,2
frp,2
dz,2
lrc,2
rm,2
got,2
udm,1
gag,1
rmy,1
ab,1
kl,1
tum,1
cu,1
tw,1
ady,1
dsb,1
na,1
avk,1
