"Series";"Time";"Value"
"abwiki";"2020-02-14T01:00:00+01:00";null
"abwiki";"2020-02-15T01:00:00+01:00";null
"abwiki";"2020-02-16T01:00:00+01:00";null
"abwiki";"2020-02-17T01:00:00+01:00";null
"abwiki";"2020-02-18T01:00:00+01:00";null
"abwiki";"2020-02-19T01:00:00+01:00";null
"abwiki";"2020-02-20T01:00:00+01:00";null
"abwiki";"2020-02-21T01:00:00+01:00";null
"abwiki";"2020-02-22T01:00:00+01:00";null
"abwiki";"2020-02-23T01:00:00+01:00";null
"abwiki";"2020-02-24T01:00:00+01:00";null
"abwiki";"2020-02-25T01:00:00+01:00";null
"abwiki";"2020-02-26T01:00:00+01:00";null
"abwiki";"2020-02-27T01:00:00+01:00";null
"abwiki";"2020-02-28T01:00:00+01:00";null
"abwiki";"2020-02-29T01:00:00+01:00";null
"abwiki";"2020-03-01T01:00:00+01:00";11
"abwiki";"2020-03-02T01:00:00+01:00";null
"abwiki";"2020-03-03T01:00:00+01:00";null
"abwiki";"2020-03-04T01:00:00+01:00";null
"abwiki";"2020-03-05T01:00:00+01:00";null
"abwiki";"2020-03-06T01:00:00+01:00";null
"abwiki";"2020-03-07T01:00:00+01:00";null
"abwiki";"2020-03-08T01:00:00+01:00";null
"abwiki";"2020-03-09T01:00:00+01:00";null
"abwiki";"2020-03-10T01:00:00+01:00";null
"abwiki";"2020-03-11T01:00:00+01:00";null
"abwiki";"2020-03-12T01:00:00+01:00";null
"abwiki";"2020-03-13T01:00:00+01:00";null
"abwiki";"2020-03-14T01:00:00+01:00";null
"abwiki";"2020-03-15T01:00:00+01:00";null
"abwiki";"2020-03-16T01:00:00+01:00";null
"abwiki";"2020-03-17T01:00:00+01:00";null
"abwiki";"2020-03-18T01:00:00+01:00";null
"abwiki";"2020-03-19T01:00:00+01:00";null
"abwiki";"2020-03-20T01:00:00+01:00";null
"abwiki";"2020-03-21T01:00:00+01:00";null
"abwiki";"2020-03-22T01:00:00+01:00";null
"abwiki";"2020-03-23T01:00:00+01:00";null
"abwiki";"2020-03-24T01:00:00+01:00";null
"abwiki";"2020-03-25T01:00:00+01:00";null
"abwiki";"2020-03-26T01:00:00+01:00";null
"abwiki";"2020-03-27T01:00:00+01:00";null
"abwiki";"2020-03-28T01:00:00+01:00";null
"abwiki";"2020-03-29T01:00:00+01:00";null
"abwiki";"2020-03-30T02:00:00+02:00";null
"abwiki";"2020-03-31T02:00:00+02:00";null
"abwiki";"2020-04-01T02:00:00+02:00";7
"abwiki";"2020-04-02T02:00:00+02:00";null
"abwiki";"2020-04-03T02:00:00+02:00";null
"abwiki";"2020-04-04T02:00:00+02:00";null
"abwiki";"2020-04-05T02:00:00+02:00";null
"abwiki";"2020-04-06T02:00:00+02:00";null
"abwiki";"2020-04-07T02:00:00+02:00";null
"abwiki";"2020-04-08T02:00:00+02:00";null
"abwiki";"2020-04-09T02:00:00+02:00";null
"abwiki";"2020-04-10T02:00:00+02:00";null
"abwiki";"2020-04-11T02:00:00+02:00";null
"abwiki";"2020-04-12T02:00:00+02:00";null
"abwiki";"2020-04-13T02:00:00+02:00";null
"abwiki";"2020-04-14T02:00:00+02:00";null
"abwiki";"2020-04-15T02:00:00+02:00";null
"abwiki";"2020-04-16T02:00:00+02:00";null
