language,count
en,1429
nl,785
ar,623
ca,579
de,561
fr,517
ja,503
zh,483
pt,463
es,433
id,420
ko,418
vi,405
ast,400
it,383
ru,366
he,363
uk,356
tr,341
ms,316
uz,308
pl,302
fa,268
bn,258
fi,257
cs,246
et,244
eo,235
sv,234
ro,232
eu,225
th,223
nn,223
be,219
zh-hant,218
da,218
sr,215
el,211
yue,211
pt-br,207
ta,207
en-gb,206
cy,206
hy,205
nb,204
ur,203
bg,203
hu,202
az,201
zh-hans,199
en-ca,197
hi,195
gl,193
sq,193
be-tarask,192
sl,190
hr,186
pa,186
ml,185
sh,185
lv,184
mk,180
ga,177
si,174
su,172
bs,172
sk,171
tt,171
sco,171
lt,171
zh-cn,170
te,169
zh-tw,169
tl,168
la,168
kk,167
ka,165
ht,164
wuu,163
is,163
af,162
kn,161
jv,160
or,159
lb,159
ne,158
de-ch,157
ckb,157
ky,156
oc,156
arz,155
sw,155
mr,154
zh-hk,154
my,154
yo,152
sd,152
nan,152
war,150
io,149
vep,149
br,148
qu,148
an,147
sr-el,147
gu,146
se,146
ku,146
sr-ec,146
ia,145
azb,144
ba,143
li,143
scn,143
am,142
ug,142
hak,142
cdo,142
ceb,142
pnb,142
gsw,141
sah,141
yi,141
nds,140
fy,140
sms,139
frr,139
lmo,139
dv,139
xmf,139
tg,138
lij,138
smn,138
diq,138
so,138
bar,137
pap,137
sc,137
bho,136
fo,136
kab,136
lfn,136
sgs,136
mt,135
gcr,135
ilo,135
mn,135
gd,134
lzh,134
pms,133
jam,133
os,133
tk,133
ha,132
ie,132
wo,132
ln,132
bxr,132
nah,132
nov,132
szl,132
za,132
bcl,131
vo,131
ext,131
frp,131
gag,131
ce,131
bo,130
bpy,130
vec,130
hif,130
hsb,130
kw,130
new,130
zea,130
shn,129
aeb-arab,129
gn,129
crh,129
pam,129
rw,129
sn,129
gv,128
mhr,128
dsb,128
dty,128
mzn,128
olo,128
ary,128
cbk-zam,127
crh-latn,127
sa,127
vro,127
xal,127
mg,126
de-at,126
ace,126
ps,126
udm,126
om,125
pih,125
ang,124
cv,124
szy,124
mi,122
lad,121
gom,120
kaa,120
na,120
pi,120
sm,119
rue,118
tet,115
ss,114
kg,113
stq,112
zh-sg,111
kbp,111
lrc,106
ee,106
gom-deva,104
gom-latn,104
sat,103
csb,103
zh-my,102
kv,102
lez,102
myv,102
haw,100
rup,100
ady,99
wa,99
jbo,99
ban,98
co,98
kl,97
tpi,97
vls,96
zh-mo,94
lo,94
mai,94
pcd,93
min,92
nds-nl,92
rm,92
kbd,90
map-bms,90
chr,90
ts,90
zu,89
as,87
ig,86
hyw,85
tum,84
ki,83
arc,83
ay,82
bgn,81
km,81
got,80
roa-tara,79
srn,79
nap,77
bi,77
krc,76
pag,76
awa,75
ltg,74
mdf,74
nv,74
mwl,73
dz,71
ff,70
nrm,68
av,68
ak,65
fur,65
pnt,65
cu,65
tw,64
mrj,64
pdc,61
ab,58
nso,57
ch,57
eml,56
rmy,56
inh,55
zh-yue,55
gan,54
koi,54
no,54
simple,54
st,53
bjn,53
bm,53
ti,53
bat-smg,53
be-x-old,53
zh-min-nan,53
als,52
zh-classical,52
sg,51
chy,50
bh,50
fiu-vro,50
bug,49
ty,47
ksh,46
lg,46
liv,46
fj,44
brh,43
rn,39
iu,36
sma,35
ny,34
xh,34
pfl,34
tt-cyrl,34
tg-cyrl,31
tyv,31
roa-rup,31
kea,30
avk,28
mo,28
nqo,27
lbe,26
ik,24
ve,24
tcy,23
din,22
to,20
glk,18
ks,15
gor,15
tn,15
kk-cyrl,14
tt-latn,14
mnw,10
frc,9
rmf,8
cr,8
ku-latn,7
smj,7
fit,6
atj,6
sje,6
kk-arab,5
kk-latn,5
aeb-latn,4
ug-arab,4
ug-latn,4
kk-cn,4
kk-kz,4
kk-tr,4
sju,4
pdt,4
tay,3
qug,3
tzm,2
aa,2
ko-kp,2
prg,2
vmf,2
kjp,2
ng,2
aln,2
hil,2
gan-hans,2
arq,1
abs,1
nod,1
ku-arab,1
ami,1
rgn,1
aeb,1
dtp,1
tg-latn,1
mh,1
sjd,1
