language,count
en,561
ar,517
de,431
pt,427
ko,408
zh,396
vi,392
fr,379
es,370
id,363
it,360
en-simple,356
uk,352
he,346
tr,334
ru,325
ms,310
uz,306
pl,267
fa,265
ca,261
nl,258
ja,258
th,223
et,222
cs,222
fi,221
be,217
sv,213
yue,211
ro,209
sr,206
ta,206
bn,205
eu,204
az,196
ur,196
nb,191
hy,189
el,189
hi,189
gl,188
bg,187
hu,186
pa,185
sq,185
ml,184
sh,183
da,182
sl,180
hr,179
eo,174
lv,174
su,171
bs,169
lt,169
sk,167
ga,167
kk,167
mk,167
tl,166
ka,165
wuu,163
ht,163
cy,162
sco,162
te,161
ast,161
yo,160
is,160
jv,160
la,160
nn,160
si,160
af,157
be-tarask,157
kn,156
ckb,156
ky,154
arz,154
my,153
mr,152
sw,152
sd,152
or,151
nan,151
war,150
oc,148
qu,147
io,146
ku,144
azb,144
ne,144
an,144
tt,142
lb,142
pnb,142
br,142
ug,141
cdo,141
hak,141
ia,141
sah,141
yi,141
ba,140
li,140
gsw,140
dv,139
xmf,139
frr,138
fy,138
am,137
ceb,137
tg,137
nds,137
so,136
pap,136
lmo,136
sgs,136
bho,135
diq,135
gcr,135
scn,135
mn,135
lij,135
lzh,134
lfn,133
sc,133
ilo,133
fo,133
os,133
ha,132
ln,132
za,132
bxr,132
bcl,131
ext,131
nov,131
jam,131
ce,131
gag,131
shn,130
bar,130
new,130
wo,130
frp,130
szl,130
bo,130
hif,130
kw,130
pms,130
pam,129
gn,129
gd,129
crh-Latn,129
bpy,129
hsb,129
ie,129
rw,129
sn,129
zea,129
se,128
mt,128
dty,128
gv,128
vo,128
olo,128
vec,127
mzn,127
cbk-x-zam,127
vro,127
dsb,127
vep,127
xal,127
kab,126
udm,126
mg,125
sa,125
tk,125
ace,125
pih,125
ps,124
cv,124
om,124
szy,123
gu,122
ang,122
gom,120
kaa,120
na,120
pi,119
sm,119
rue,118
tet,115
ss,114
kbp,111
kg,110
stq,110
ee,106
lad,103
lez,102
kv,102
myv,102
csb,102
haw,100
mhr,99
lrc,99
ban,98
ady,98
wa,97
tpi,97
ary,96
jbo,95
mai,93
lo,93
vls,93
pcd,91
sat,90
jv-x-bms,90
ts,90
kbd,90
nds-NL,89
min,88
chr,88
ig,86
rm,86
zu,85
as,84
mi,84
tum,84
arc,83
ki,83
ay,81
km,80
got,80
it-x-tara,79
co,78
bi,77
krc,76
pag,76
srn,76
hyw,75
nah,75
awa,75
rup,74
ltg,74
mdf,74
nap,74
mwl,72
dz,71
ff,70
avk,69
av,68
kl,67
cu,65
pnt,65
tw,64
fr-x-nrm,64
mrj,64
fur,63
ak,62
pdc,60
nso,57
ch,57
egl,56
ab,56
rmy,56
inh,55
koi,54
st,53
ti,53
gan,53
bjn,52
bm,52
sg,51
bug,48
lg,46
nv,46
fj,43
chy,39
rn,39
ksh,36
ty,35
iu,35
ny,34
pfl,33
xh,32
tyv,30
lbe,26
ik,24
tcy,23
din,22
ve,22
nqo,18
to,17
glk,17
gor,15
tn,15
ks,13
mnw,10
cr,8
atj,6
ng,2
